,Unnamed: 0,area,bath,bed,date_check,description,features,location,price,property_date,specific_location,toilet,90_perc,10_perc,forsale_flag,date_flag,50_perc,location_rank,terrace_flag,new_flag,serviced_flag,estate_flag,furnish_flag,flag,island
0,0,atunrase-medina,4,4,"Updated 09 Mar 2021, Added 02 Mar 2021",Executive 4bed room duplex,4 beds 4 baths 5 Toilets,gbagada,2800000,2021,Aturase EstateAtunrase Medina Gbagada Lagos,5,3000000,1780000,0,2,2800000,60,1,1,0,0,0,1,Mainland
1,1,atunrase-medina,3,3,"Updated 09 Mar 2021, Added 27 Jul 2020",Luxury executive 3bedroom flat with BQ at atunrase estate gbagada,3 beds 3 baths 4 Toilets,gbagada,2000000,2021,Atunrase estate gbagadaAtunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,0,2,0,1,0,3,Mainland
2,2,atunrase-medina,5,4,"Updated 09 Mar 2021, Added 16 Oct 2020",A luxurious 4 bedroom duplex,4 beds 5 baths 5 Toilets,gbagada,2800000,2021,Atunrase estate gbagadaAtunrase Medina Gbagada Lagos,5,3000000,1780000,0,2,2800000,60,1,1,0,0,0,1,Mainland
3,3,atunrase-medina,3,3,"Updated 09 Mar 2021, Added 02 Feb 2021",Nice 3 bedroom duplex at Atunrase gbagada,3 beds 3 baths 3 Toilets,gbagada,2000000,2021,Atunrase Atunrase Medina Gbagada Lagos,3,2300000,1000000,0,2,1500009,46,1,0,0,0,0,0,Mainland
4,4,atunrase-medina,2,2,"Updated 07 Mar 2021, Added 09 Feb 2021","Spacious 2 bedroom ground flat with POP, prepaid meter",2 beds 2 baths 2 Toilets,gbagada,1000000,2021,Atunrase Estate Gbagada Atunrase Medina Gbagada Lagos,2,1400000,710000,0,2,1000000,35,0,0,0,0,0,0,Mainland
5,5,atunrase-medina,4,4,"Updated 07 Mar 2021, Added 02 Mar 2021",Modern serviced 4 bedrooms terraced duplex (4 occupants),4 beds 4 baths 5 Toilets,gbagada,2800000,2021,Atunrase Estate Gbagada Atunrase Medina Gbagada Lagos,5,3000000,1780000,0,2,2800000,60,2,0,1,0,0,0,Mainland
6,6,atunrase-medina,3,3,"Updated 07 Mar 2021, Added 02 Feb 2021",3bedroom duplex new house in Atunrase Estate,3 beds 3 baths Toilets,gbagada,2000000,2021,Atunrase Medina Gbagada Lagos,0,2300000,1000000,0,2,1500009,46,1,1,0,1,0,2,Mainland
8,8,atunrase-medina,4,4,Added 09 Mar 2021,"Tastefully Finished serviced 4 bedroom terraced duplex (4 occupants) , fitted with kitchen cabinet and wardrobe at Atunrase estate Gbagada",4 beds 4 baths 4 Toilets,gbagada,2800000,2021,Atunrase Medina Gbagada Lagos,4,3000000,1780000,0,1,2800000,60,2,0,1,1,0,1,Mainland
10,10,atunrase-medina,1,1,"Updated 09 Mar 2021, Added 05 Aug 2020",Mini flat,1 beds 1 baths 2 Toilets,gbagada,800000,2021,Atunrase Atunrase Medina Gbagada Lagos,2,900000,400000,0,2,700000,24,0,0,0,0,0,0,Mainland
11,11,atunrase-medina,3,3,"Updated 09 Mar 2021, Added 07 Jun 2020","Tastefully renovated ensuite 3bedroom flat with a bq at Atunrase estate,Gbagada",3 beds 3 baths 4 Toilets,gbagada,2200000,2021,"Atunrase estate,GbagadaAtunrase Medina Gbagada Lagos",4,2300000,1000000,0,2,1500009,46,0,0,0,1,0,1,Mainland
15,15,atunrase-medina,3,3,"Updated 09 Mar 2021, Added 08 Sep 2020",Nice 3 bedroom terrace apartment at gbagada,3 beds 3 baths 4 Toilets,gbagada,1800000,2021,Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,1,0,0,0,0,0,Mainland
20,20,atunrase-medina,1,1,"Updated 09 Mar 2021, Added 08 Jan 2021",Nice Mini flat at median estate gbagada,1 beds 1 baths Toilets,gbagada,750000,2021,Atunrase Medina Gbagada Lagos,0,900000,400000,0,2,700000,24,0,0,0,1,0,1,Mainland
21,21,atunrase-medina,3,3,"Updated 09 Mar 2021, Added 07 Aug 2020",3 bedroom flat at median estate gbagada,3 beds 3 baths 4 Toilets,gbagada,1400000,2021,Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,0,0,0,1,0,1,Mainland
22,22,atunrase-medina,3,3,"Updated 09 Mar 2021, Added 02 Nov 2020",Newly built 3 bedroom terrace duplex at Atunrase/medina estate gbagada,3 beds 3 baths 4 Toilets,gbagada,2000000,2021,Off Twins obasaAtunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,2,1,0,1,0,2,Mainland
23,23,atunrase-medina,3,3,"Updated 09 Mar 2021, Added 19 Oct 2020",3 bedroom flat at medina estate gbagada,3 beds 3 baths 4 Toilets,gbagada,1800000,2021,Median Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,0,0,0,1,0,1,Mainland
25,25,atunrase-medina,2,1,"Updated 09 Mar 2021, Added 25 Feb 2021",Standard mini flat,1 beds 2 baths 2 Toilets,gbagada,800000,2021,Owolegban streetAtunrase Medina Gbagada Lagos,2,900000,400000,0,2,700000,24,0,0,0,0,0,0,Mainland
26,26,atunrase-medina,4,4,"Updated 09 Mar 2021, Added 18 Sep 2020",Nice 4 bedroom duplex at millennium,4 beds 4 baths 4 Toilets,gbagada,2500000,2021,Atunrase Medina Gbagada Lagos,4,3000000,1780000,0,2,2800000,60,1,0,0,0,0,0,Mainland
27,27,atunrase-medina,4,4,"Updated 09 Mar 2021, Added 02 Nov 2020",Relatively new 4 bedroom terrace duplex at Atunrase estate gbagada,4 beds 4 baths 5 Toilets,gbagada,2800000,2021,OwolegbonAtunrase Medina Gbagada Lagos,5,3000000,1780000,0,2,2800000,60,2,1,0,1,0,2,Mainland
28,28,atunrase-medina,4,4,"Updated 07 Mar 2021, Added 05 Mar 2021",tastefully finished all rooms en-suite 4 bedroom terrace duplex,4 beds 4 baths 5 Toilets,gbagada,2800000,2021,Atunrase Medina Gbagada Lagos,5,3000000,1780000,0,2,2800000,60,2,0,0,0,0,0,Mainland
29,29,atunrase-medina,4,4,"Updated 07 Mar 2021, Added 05 Mar 2021",Tastefully Finished serviced 4 bedroom terraced duplex,4 beds 4 baths 5 Toilets,gbagada,2800000,2021,Atunrase Medina Gbagada Lagos,5,3000000,1780000,0,2,2800000,60,2,0,1,0,0,0,Mainland
31,31,atunrase-medina,4,4,"Updated 07 Mar 2021, Added 24 Sep 2020","*Fresh* Newly renovated and spacious 4bedroom terraced duplex with all room ensuite plus guest toilet, prepaid meter, in Atunrase Estate Gbagada. *Rent* 2m per year",4 beds 4 baths 5 Toilets,gbagada,2000000,2021,Atunrase Medina Gbagada Lagos,5,3000000,1780000,0,2,2800000,60,2,1,0,1,0,2,Mainland
33,33,atunrase-medina,4,4,"Updated 07 Mar 2021, Added 15 Oct 2020",4 bedroom terrace duplex,4 beds 4 baths 5 Toilets,gbagada,2800000,2021,Atunrase Estate Gbagada Atunrase Medina Gbagada Lagos,5,3000000,1780000,0,2,2800000,60,2,0,0,0,0,0,Mainland
34,34,atunrase-medina,3,4,"Updated 07 Mar 2021, Added 11 Jun 2020",New 3 bedroom flat up with bq at aturanse estate gbagada,4 beds 3 baths 4 Toilets,gbagada,2200000,2021,Aturanse estate gbsgadaAtunrase Medina Gbagada Lagos,4,3000000,1780000,0,2,2800000,60,0,1,0,1,0,2,Mainland
35,35,atunrase-medina,2,2,"Updated 07 Mar 2021, Added 07 Jul 2020",2 bedroom flat up at aturanse estate gbagada,2 beds 2 baths 2 Toilets,gbagada,1000000,2021,Aturanse estate gbsgadaAtunrase Medina Gbagada Lagos,2,1400000,710000,0,2,1000000,35,0,0,0,1,0,1,Mainland
38,38,atunrase-medina,2,2,"Updated 07 Mar 2021, Added 10 Nov 2020","Executive Decent 2 bedrooms GROUND flat 2toilet 2bath, a room ensuite with prepaid meter, 3 occupants to share compound and ample parking @ Atunrase Estate, Gbagada. *Rent* 1.million 1year rent only",2 beds 2 baths 3 Toilets,gbagada,1000000,2021,Atunrase Medina Gbagada Lagos,3,1400000,710000,0,2,1000000,35,0,1,0,1,0,2,Mainland
40,40,atunrase-medina,2,1,"Updated 07 Mar 2021, Added 11 Aug 2020",new and very spacious Mini Flat w,1 beds 2 baths 2 Toilets,gbagada,750000,2021,#NAME?,2,900000,400000,0,2,700000,24,0,1,0,0,0,1,Mainland
41,41,atunrase-medina,3,3,"Updated 07 Mar 2021, Added 19 Jul 2020",6 Nos Newly built n tastefully finished 3 bedrooms terraced duplex ensuite with guest toilet,3 beds 3 baths 4 Toilets,gbagada,2000000,2021,Atunrase Estate Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,2,1,0,0,0,1,Mainland
44,44,atunrase-medina,2,1,"Updated 07 Mar 2021, Added 11 Aug 2020","Executive Standard lovely and decent Relatively newly built MiniFlat with 2toilet 2bath, fitted kitchen, all round tiles, POP ceiling, in Atunrase Estate, Gbagada. *Rent:* 750k, 1year rent",1 beds 2 baths 2 Toilets,gbagada,750000,2021,Atunrase Medina Gbagada Lagos,2,900000,400000,0,2,700000,24,0,2,0,1,0,3,Mainland
45,45,atunrase-medina,2,2,"Updated 07 Mar 2021, Added 05 Aug 2020","Just Out: Decent and very Spacious 2brm flat with extra small room, 2t, 2b, upstairs flat with prepaid meter at Atunrase Estate, Gbagada. 1m, 1yr",2 beds 2 baths 2 Toilets,gbagada,1000000,2021,Atunrase Medina Gbagada Lagos,2,1400000,710000,0,2,1000000,35,0,0,0,1,0,1,Mainland
46,46,atunrase-medina,3,3,"Updated 07 Mar 2021, Added 24 Nov 2019","AN EXECUTIVE VERY SPACIOUS 3BEDROOM FLAT, JUST ONLY 2TENANTS IN D COMPOUND AND HAS BIG DINING SECTION",3 beds 3 baths 4 Toilets,gbagada,1600000,2021,"Off Zainab crescent, Medina estate GbagadaAtunrase Medina Gbagada Lagos",4,2300000,1000000,0,2,1500009,46,0,1,0,0,0,1,Mainland
47,47,atunrase-medina,4,4,"Updated 07 Mar 2021, Added 30 Sep 2020","Tastefully finished and Serviced 4brm Terrace Duplex with all rooms ensuite and guest toilet, 2 sitting room, standby generator",4 beds 4 baths 5 Toilets,gbagada,2800000,2021,Atunrase Estate Gbagada Atunrase Medina Gbagada Lagos,5,3000000,1780000,0,2,2800000,60,2,0,1,0,0,0,Mainland
48,48,atunrase-medina,0,4,"Updated 07 Mar 2021, Added 02 Mar 2021",Ultra Modern peacefully 4 Bedroom Terrace Duplex at Aturanse Estate Gbagada,4 beds baths Toilets,gbagada,2800000,2021,Atunrase Medina Gbagada Lagos,0,3000000,1780000,0,2,2800000,60,2,0,0,1,0,1,Mainland
49,49,atunrase-medina,4,4,Added 06 Mar 2021,Modern 4 bedrooms Duplex,4 beds 4 baths 4 Toilets,gbagada,2800000,2021,"Atunrase Estate, gbagada Atunrase Medina Gbagada Lagos",4,3000000,1780000,0,1,2800000,60,1,0,0,0,0,0,Mainland
50,50,atunrase-medina,4,4,Added 06 Mar 2021,Modern 4 bedrooms Duplex,4 beds 4 baths 4 Toilets,gbagada,2800000,2021,"Atunrase Estate, gbagada Atunrase Medina Gbagada Lagos",4,3000000,1780000,0,1,2800000,60,1,0,0,0,0,0,Mainland
52,52,atunrase-medina,0,4,Added 06 Mar 2021,Luxurious 4 Bedroom Terraced Duplex For Rent At Atunranse Estate. Gbagada,4 beds baths Toilets,gbagada,2800000,2021,Atunranse estate Atunrase Medina Gbagada Lagos,0,3000000,1780000,0,1,2800000,60,2,1,0,1,0,2,Mainland
53,53,atunrase-medina,3,3,"Updated 05 Mar 2021, Added 12 Feb 2021",Standard 3 Bedroom Apartment,3 beds 3 baths 4 Toilets,gbagada,1800000,2021,Atunranshe estate Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,0,0,0,0,0,0,Mainland
54,54,atunrase-medina,0,4,"Updated 05 Mar 2021, Added 03 Mar 2021",Beautifully Built 4 Bedroom Terraced Duplex,4 beds 0 baths 0 Toilets,gbagada,2800000,2021,Atunranshe estate Atunrase Medina Gbagada Lagos,0,3000000,1780000,0,2,2800000,60,2,0,0,0,0,0,Mainland
57,57,atunrase-medina,4,4,"Updated 05 Mar 2021, Added 03 Mar 2021",Lovely and spacious 4bedroom Terrace Duplex in a lovely and secured neighborhood,4 beds 4 baths 5 Toilets,gbagada,2800000,2021,Atunrase estateAtunrase Medina Gbagada Lagos,5,3000000,1780000,0,2,2800000,60,2,0,0,0,0,0,Mainland
59,59,atunrase-medina,1,1,"Updated 05 Mar 2021, Added 12 Aug 2020",RELATIVELY NEW MINI FLAT,1 beds 1 baths 2 Toilets,gbagada,750000,2021,Atunrase Medina Gbagada Lagos,2,900000,400000,0,2,700000,24,0,1,0,0,0,1,Mainland
61,61,atunrase-medina,3,3,"Updated 05 Mar 2021, Added 20 Jul 2020",4 Nos Newly built n tastefully finished 3 bedrooms terraced duplex ensuite with guest toilets Medina n Atunrase estates Gbagada Rent now 2M,3 beds 3 baths 4 Toilets,gbagada,2000000,2021,Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,2,1,0,1,0,2,Mainland
62,62,atunrase-medina,2,2,"Updated 05 Mar 2021, Added 27 Jan 2021",6 Newly built 2 bedrooms up flat Atunrase estate 1.3M,2 beds 2 baths 3 Toilets,gbagada,1300000,2021,Atunrase Medina Gbagada Lagos,3,1400000,710000,0,2,1000000,35,0,1,0,1,0,2,Mainland
63,63,atunrase-medina,3,3,"Updated 05 Mar 2021, Added 26 Jan 2021","Newly Renovated And Spacious 3 Bedroom Flat For Rent At Gbagada, Lagos",3 beds 3 baths 4 Toilets,gbagada,1300000,2021,Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,0,1,0,0,0,1,Mainland
64,64,atunrase-medina,2,1,"Updated 05 Mar 2021, Added 17 Jun 2020",SPACIOUS MINI WITH DINNING,1 beds 2 baths 2 Toilets,gbagada,500000,2021,Atunrase Medina Gbagada Lagos,2,900000,400000,0,2,700000,24,0,0,0,0,0,0,Mainland
66,66,atunrase-medina,4,4,"Updated 05 Mar 2021, Added 17 Jul 2020",NEWLY BUILT FOUR BEDROOM TERRACE DUPLEX,4 beds 4 baths 5 Toilets,gbagada,2000000,2021,Atunrase Medina Gbagada Lagos,5,3000000,1780000,0,2,2800000,60,2,1,0,0,0,1,Mainland
67,67,atunrase-medina,1,1,"Updated 03 Mar 2021, Added 04 Feb 2021",Newly Built Miniflat Available For Rent,1 beds 1 baths 2 Toilets,gbagada,700000,2021,Atunrase Medina Gbagada Lagos,2,900000,400000,0,2,700000,24,0,1,0,0,0,1,Mainland
68,68,atunrase-medina,1,1,"Updated 03 Mar 2021, Added 10 Sep 2020",Newly Built Miniflat Available,1 beds 1 baths 2 Toilets,gbagada,700000,2021,Atunrase Medina Gbagada Lagos,2,900000,400000,0,2,700000,24,0,1,0,0,0,1,Mainland
69,69,atunrase-medina,1,1,"Updated 03 Mar 2021, Added 02 Dec 2020",Newly Built Miniflat Available,1 beds 1 baths 2 Toilets,gbagada,800000,2021,Atunrase Medina Gbagada Lagos,2,900000,400000,0,2,700000,24,0,1,0,0,0,1,Mainland
70,70,atunrase-medina,2,1,"Updated 03 Mar 2021, Added 24 Aug 2020",Newly Built Miniflat Available,1 beds 2 baths 2 Toilets,gbagada,700000,2021,Atunrase Medina Gbagada Lagos,2,900000,400000,0,2,700000,24,0,1,0,0,0,1,Mainland
71,71,atunrase-medina,2,2,"Updated 03 Mar 2021, Added 01 Nov 2020",Relatively Newly Two Bedroom Apartment,2 beds 2 baths 3 Toilets,gbagada,1000000,2021,Atunrase Medina Gbagada Lagos,3,1400000,710000,0,2,1000000,35,0,1,0,0,0,1,Mainland
75,75,atunrase-medina,2,2,"Updated 03 Mar 2021, Added 26 Nov 2020",Newly Built Two Bedroom Apartment,2 beds 2 baths 3 Toilets,gbagada,800000,2021,Atunrase Medina Gbagada Lagos,3,1400000,710000,0,2,1000000,35,0,1,0,0,0,1,Mainland
78,78,atunrase-medina,4,4,"Updated 01 Mar 2021, Added 07 Oct 2020",Tastefully finished and Serviced 4bedroom Terrace Duplex,4 beds 4 baths 5 Toilets,gbagada,2800000,2021,...Atunrase Medina Gbagada Lagos,5,3000000,1780000,0,2,2800000,60,2,0,1,0,0,0,Mainland
79,79,atunrase-medina,2,2,"Updated 01 Mar 2021, Added 11 Mar 2020",Decent 2 bedroom flat,2 beds 2 baths 3 Toilets,gbagada,1100000,2021,Atunrase Medina Gbagada Lagos,3,1400000,710000,0,2,1000000,35,0,0,0,0,0,0,Mainland
81,81,atunrase-medina,0,2,"Updated 28 Feb 2021, Added 09 Feb 2021",A spacious 2bedroom ground flat,2 beds 0 baths 0 Toilets,gbagada,1000000,2021,#NAME?,0,1400000,710000,0,2,1000000,35,0,0,0,0,0,0,Mainland
83,83,atunrase-medina,0,3,"Updated 28 Feb 2021, Added 19 Jan 2021",A standard 3 bedroom flat,3 beds 0 baths 0 Toilets,gbagada,1500000,2021,...Atunrase Medina Gbagada Lagos,0,2300000,1000000,0,2,1500009,46,0,0,0,0,0,0,Mainland
88,88,atunrase-medina,2,2,Added 10 Feb 2021,Spacious 2 bedroom Apartment,2 beds 2 baths 2 Toilets,gbagada,1000000,2021,#NAME?,2,1400000,710000,0,1,1000000,35,0,0,0,0,0,0,Mainland
89,89,atunrase-medina,0,3,Added 02 Feb 2021,Lovely Realatively New 3 bedroom duplex,3 beds 0 baths 0 Toilets,gbagada,2000000,2021,#NAME?,0,2300000,1000000,0,1,1500009,46,1,1,0,0,0,1,Mainland
90,90,atunrase-medina,0,3,"Updated 08 Jan 2021, Added 03 Dec 2020",Renovated 3 Bedroom Flat,3 beds 0 baths 0 Toilets,gbagada,1400000,2021,"OLUFEMI APARA CLOSE, ATUNRASE ESTATE,Atunrase Medina Gbagada Lagos",0,2300000,1000000,0,2,1500009,46,0,0,0,0,0,0,Mainland
91,91,atunrase-medina,4,4,"Updated 05 Jan 2021, Added 08 Nov 2020",Tastefully finished and Serviced 4 Bedroom Terrace Duplex,4 beds 4 baths 5 Toilets,gbagada,2800000,2021,...Atunrase Medina Gbagada Lagos,5,3000000,1780000,0,2,2800000,60,2,0,1,0,0,0,Mainland
92,92,atunrase-medina,0,3,"Updated 22 Dec 2020, Added 12 Aug 2020",Newly built n nicely finished 3 bedrooms flat,3 beds baths Toilets,gbagada,2200000,2020,Atunrase Medina Gbagada Lagos,0,2300000,1000000,0,2,1500009,46,0,1,0,0,0,1,Mainland
98,98,atunrase-medina,3,3,"Updated 24 Sep 2020, Added 20 Jun 2020",3bedroom Flat,3 beds 3 baths 3 Toilets,gbagada,2200000,2020,"Atunrase Estate, GbagadaAtunrase Medina Gbagada Lagos",3,2300000,1000000,0,2,1500009,46,0,0,0,0,0,0,Mainland
101,101,atunrase-medina,1,1,Added 13 Aug 2020,Relatively new mini flat,1 beds 1 baths 2 Toilets,gbagada,750000,2020,Atunrase Medina Gbagada Lagos,2,900000,400000,0,1,700000,24,0,1,0,0,0,1,Mainland
102,102,atunrase-medina,1,1,"Updated 13 Aug 2020, Added 12 Aug 2020",Lovely mini flat at Aturase Estate,1 beds 1 baths 2 Toilets,gbagada,750000,2020,Atunrase Medina Gbagada Lagos,2,900000,400000,0,2,700000,24,0,0,0,1,0,1,Mainland
103,103,atunrase-medina,3,3,"Updated 13 Aug 2020, Added 26 Jul 2020",Newly built 3bed room terrace duplex,3 beds 3 baths 4 Toilets,gbagada,2200000,2020,Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,2,1,0,0,0,1,Mainland
105,105,atunrase-medina,3,3,"Updated 13 Jan 2021, Added 19 Jul 2020","NEWLY BUILT EXECUTIVE 3 BEDROOMS TERRACED DUPLEX @ ATURANSE, GBAGADA",3 beds 3 baths 4 Toilets,gbagada,2000000,2021,Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,2,2,0,0,0,2,Mainland
106,106,atunrase-medina,3,3,"Updated 27 Dec 2020, Added 03 Jul 2020","A block of newly built 9units, 3bedroom flats (all room en-suits) with one room BQ",3 beds 3 baths 4 Toilets,gbagada,2200000,2020,Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,0,1,0,0,0,1,Mainland
108,108,atunrase-medina,1,1,"Updated 09 Sep 2020, Added 11 Aug 2020",Mini flat,1 beds 1 baths 2 Toilets,gbagada,800000,2020,Close in atunraseAtunrase Medina Gbagada Lagos,2,900000,400000,0,2,700000,24,0,0,0,0,0,0,Mainland
110,110,atunrase-medina,3,3,"Updated 31 Aug 2020, Added 19 Jun 2020",Newly built executive and spacious 3bedroom flat @ Atunrase estate Gbagada all rooms ensult with guest toilet wardrobe water heater pop dinning ample car park and bq rent # 2.2 million a year rent,3 beds 3 baths 4 Toilets,gbagada,2200000,2020,Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,0,2,0,1,0,3,Mainland
113,113,atunrase-medina,3,3,"Updated 20 Aug 2020, Added 31 May 2020",3 bedroom terrace duplex at close to medina estate gbagada,3 beds 3 baths 4 Toilets,gbagada,2200000,2020,Close to medina estate gbagada Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,2,0,0,1,0,1,Mainland
117,117,atunrase-medina,0,3,"Updated 13 Aug 2020, Added 22 Jul 2020","9 Units Of Tastefully Built 3 Bedroom Apartment For Rent At Atunranshe, Gbagada",3 beds baths Toilets,gbagada,2200000,2020,Atunrase Medina Gbagada Lagos,0,2300000,1000000,0,2,1500009,46,0,0,0,0,0,0,Mainland
119,119,atunrase-medina,3,3,"Updated 08 Aug 2020, Added 23 Jun 2020","Very Spacious 3 Bedroom Apartment For Rent At Atunranshe Estate, Gbagada",3 beds 3 baths 4 Toilets,gbagada,1300000,2020,Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,0,0,0,1,0,1,Mainland
120,120,atunrase-medina,3,3,"Updated 08 Aug 2020, Added 25 Jun 2020","Very spacious and renovated 3 bedroom flat, all rooms en-suite",3 beds 3 baths 4 Toilets,gbagada,1300000,2020,Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,0,0,0,0,0,0,Mainland
121,121,atunrase-medina,3,3,"Updated 07 Aug 2020, Added 22 Jun 2020","Direct Letting: Very spacious and renovated 3bedroom flat, UPSTAIRS, with all room ensuite plus guest toilet, at Atunrase Estate, Gbagada. Rent: 1.3m, 1year rent.",3 beds 3 baths 4 Toilets,gbagada,1300000,2020,Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,0,0,0,1,0,1,Mainland
122,122,atunrase-medina,4,3,"Updated 25 Jul 2020, Added 10 Jun 2020",Splendid 3Bedroom at Off Aturase Estate,3 beds 4 baths 4 Toilets,gbagada,1300000,2020,Off Aturase EstateAtunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,0,0,0,1,0,1,Mainland
124,124,atunrase-medina,3,3,"Updated 12 Jul 2020, Added 01 Jun 2020",Just out 9nos of 3bedrm flat all room ensuits at atunrase estate gbagada,3 beds 3 baths 4 Toilets,gbagada,1200000,2020,Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,0,0,0,1,0,1,Mainland
125,125,atunrase-medina,3,3,"Updated 12 Jul 2020, Added 31 May 2020","Brand New 3 Bedroom Apartment For Rent At Atunranshe Estate, Gbagada",3 beds 3 baths Toilets,gbagada,1200000,2020,Atunrase Medina Gbagada Lagos,0,2300000,1000000,0,2,1500009,46,0,1,0,1,0,2,Mainland
126,126,atunrase-medina,3,3,"Updated 12 Jul 2020, Added 27 May 2020","Executive Standard and decent Renovated spacious 3bedroom flat with all rooms en-suite with guest toilet,upstairs at atunrase estate direct client only please. 1.3m a year rent",3 beds 3 baths 4 Toilets,gbagada,1300000,2020,Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,0,1,0,1,0,2,Mainland
127,127,atunrase-medina,3,3,"Updated 12 Jul 2020, Added 02 Jun 2020",3bedroom flat all rooms ensuite,3 beds 3 baths 4 Toilets,gbagada,1200000,2020,Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,0,0,0,0,0,0,Mainland
128,128,atunrase-medina,3,3,"Updated 12 Jul 2020, Added 03 Jun 2020",3bedroom flat,3 beds 3 baths 4 Toilets,gbagada,1200000,2020,AtunraseAtunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,0,0,0,0,0,0,Mainland
129,129,atunrase-medina,3,3,"Updated 12 Jul 2020, Added 31 May 2020","Newly built 3 bedroom flat with dining, laundry, reading room",3 beds 3 baths 4 Toilets,gbagada,1200000,2020,Atunrase Medina Gbagada Lagos,4,2300000,1000000,0,2,1500009,46,0,1,0,0,0,1,Mainland
130,130,atunrase-medina,1,1,"Updated 02 Jul 2020, Added 07 Jun 2020","Clean And Nice Mini Flat For Rent At Medina Estate, Gbagada",1 beds 1 baths Toilets,gbagada,600000,2020,Atunrase Medina Gbagada Lagos,0,900000,400000,0,2,700000,24,0,0,0,1,0,1,Mainland
131,131,atunrase-medina,1,1,"Updated 02 Jul 2020, Added 07 Jun 2020","Clean And Nice Mini Flat For Rent At Medina Estate, Gbagada",1 beds 1 baths Toilets,gbagada,600000,2020,Atunrase Medina Gbagada Lagos,0,900000,400000,0,2,700000,24,0,0,0,1,0,1,Mainland
133,133,atunrase-medina,1,1,"Updated 02 Jul 2020, Added 09 Jun 2020","Very lovely decent and spacious Mini Flat Duplex, only 2 people in compound at Medina Estate Gbagada. *Rent:* 600k, 1year rent.",1 beds 1 baths 2 Toilets,gbagada,600000,2020,Medina Estate Atunrase Medina Gbagada Lagos,2,900000,400000,0,2,700000,24,1,0,0,1,0,1,Mainland
134,134,atunrase-medina,2,2,"Updated 11 Jun 2020, Added 14 May 2020",Cute 2 bedrooms,2 beds 2 baths 3 Toilets,gbagada,800000,2020,Atunrase Medina Gbagada Lagos,3,1400000,710000,0,2,1000000,35,0,0,0,0,0,0,Mainland
136,136,atunrase-medina,2,3,"Updated 02 Jun 2020, Added 23 Apr 2020",Nicely built 3 bedroom flat,3 beds 2 baths 3 Toilets,gbagada,1200000,2020,Atunrase Medina Gbagada Lagos,3,2300000,1000000,0,2,1500009,46,0,0,0,0,0,0,Mainland
137,137,atunrase-medina,2,2,"Updated 11 May 2020, Added 27 Mar 2020",new 2 bedroom ground flat,2 beds 2 baths 3 Toilets,gbagada,1000000,2020,AtunraseAtunrase Medina Gbagada Lagos,3,1400000,710000,0,2,1000000,35,0,1,0,0,0,1,Mainland
138,138,atunrase-medina,2,2,"Updated 10 May 2020, Added 28 Mar 2020",Modern 2 bedroom flat at Atunrase estate gbagada,2 beds 2 baths 3 Toilets,gbagada,1100000,2020,OwolegbanAtunrase Medina Gbagada Lagos,3,1400000,710000,0,2,1000000,35,0,0,0,1,0,1,Mainland
139,139,atunrase-medina,3,2,"Updated 10 May 2020, Added 27 Mar 2020",new 2 bedroom ground flat,2 beds 3 baths 3 Toilets,gbagada,1000000,2020,..Atunrase Medina Gbagada Lagos,3,1400000,710000,0,2,1000000,35,0,1,0,0,0,1,Mainland
140,140,atunrase-medina,0,1,"Updated 21 Apr 2020, Added 25 Mar 2020",mini flat for rent,1 beds baths Toilets,gbagada,500000,2020,Atunrase Medina Gbagada Lagos,0,900000,400000,0,2,700000,24,0,0,0,0,0,0,Mainland
141,141,atunrase-medina,3,3,"Updated 17 Apr 2020, Added 03 Mar 2020",Renovated 3 bedroom duplex,3 beds 3 baths 3 Toilets,gbagada,1500000,2020,AdeolaAtunrase Medina Gbagada Lagos,3,2300000,1000000,0,2,1500009,46,1,0,0,0,0,0,Mainland
